Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Dialogue/FS_Mokou_BambooForest/024,Text,,,"*Mokou
What I just told you is the story of Fujiwara no Mokou, the Hourai immortal.
...What I’ll say next is my story.",,"*妹红
刚刚我说的，是名为藤原妹红的蓬莱人的故事。
……接下来我要说的，就是我的故事。",
Dialogue/FS_Mokou_BambooForest/025,Text,,,"*Mokou
A catastrophic disaster, similar to the global freeze, struck Gensokyo.
Almost instantly, the entire realm was swallowed.",,"*妹红
类似全球冻结一样，一场毁灭性的灾难降临到了幻想乡。
几乎是一瞬间，整个幻想乡被瞬间吞没了。",
Dialogue/FS_Mokou_BambooForest/026,Text,,,"*Mokou
But someone foresaw this calamity.
Though powerless to stop it, she used the power of two Hourai immortals to create perfect replicas—Hourai Dolls.",,"*妹红
但是，有人预见到了这场灾难的降临。
虽然她也无力阻止这场灾难，但她借助两位蓬莱人的力量，造出来她们的完美复制体——蓬莱人形。",
Dialogue/FS_Mokou_BambooForest/027,Text,Lucy,,You mean…you’re a Hourai Doll?,,你的意思是……你是蓬莱人形？,
Dialogue/FS_Mokou_BambooForest/028,Text,,,"*Mokou
Pathetic, isn’t it? My abilities are borrowed, my memories are borrowed—everything about me is borrowed.
I’m just an empty shell with Mokou’s appearance… What meaning does my existence hold?",,"*妹红 
很可笑吧……我的能力是别人的，记忆是别人的，我的一切都是别人的。
我只是有着藤原妹红外表的一个空壳……我究竟有什么存在的意义呢。",
Dialogue/FS_Mokou_BambooForest/029,Text,Lucy,,"...I don’t understand.
I don’t know this Gensokyo you speak of, nor the Fujiwara no Mokou from there.",,"……我不明白。
我不知道你说的幻想乡是哪里，也不认识你说的那个幻想乡的藤原妹红。",
Dialogue/FS_Mokou_BambooForest/030,Text,Lucy,,"The Mokou I know is the one from the Distortion Land Investigation Team.
The one who shields her allies in battle, standing alone against all threats.",,"我认识的，只是扭曲之地调查团里的那个妹红小姐。
是会在战斗时将同伴保护在身后，自己一个人挡住所有人的妹红小姐。",
Dialogue/FS_Mokou_BambooForest/031,Text,Lucy,,"She worries about her immortal power, joined the team for others’ sake, and would risk everything for her comrades.",,她会因为自己的不死的力量而烦恼，会因为周围的人而加入调查团，也会为了调查团的同伴们而赴汤蹈火。,
Dialogue/FS_Mokou_BambooForest/032,Text,Lucy,,"Even if everything about you is artificial, your actions are real. You’ve genuinely impacted every member of the team.",,即使你的一切都是虚伪的，但是你的所作所为都是真实的，你切切实实地影响到了调查团的每一个人。,
Dialogue/FS_Mokou_BambooForest/033,Text,Lucy,,"Though this world we’re in is also artificial… Even if we leave and return to reality, everything we’ve experienced here remains tangible.",,虽然我们现在的这个世界也都是虚伪的……但即使我们离开了这里，回到了现实，我们所经历过的一切都是切实存在过的。,
Dialogue/FS_Mokou_BambooForest/034,Text,Lucy,,"You’ve truly acted as a investigator, doing what you chose to do.
To us, you’re utterly uniq…[auto0.5]",,"你确确实实地作为一个调查员，做出了你自己想做的事。
对我们来说，你就是独一无……[auto0.5]",
Dialogue/FS_Mokou_BambooForest/035,Text,,,"*???
Mokou… So this is where you’ve been!
I finally found you…",,"*???
妹红……原来你在这里啊！
我终于找到你了……",
Dialogue/FS_Mokou_BambooForest/036,Text,,,"*Mokou
Kaguya?! How are you here?",,"*妹红
辉夜？！你怎么会在这里的？",
Dialogue/FS_Mokou_BambooForest/037,Text,,,"*Houraisan Kaguya
You know our old rule.
If you want answers, defeat me first!",,"*蓬莱山辉夜
你知道我们的老规矩。
想知道发生了什么，就先打败我吧！",
Dialogue/FS_Mokou_BambooForest/038,Text,,,"*Mokou
Tch.
Get ready, Lucy. She’s no ordinary foe.",,"*妹红
啧。
做好准备，露西。她可不是一般的敌人。",
Dialogue/FS_Mokou_BambooForest_After/002,Text,,,"*Kaguya
Ahaha, I yield, I yield.
Haven’t exerted myself like this in ages—every part of me aches.",,"*辉夜
哎呀，输了输了。
真是好久没有怎么大动干戈了，感觉浑身都在酸痛。",
Dialogue/FS_Mokou_BambooForest_After/003,Text,,,"*Mokou
Serves you right for attacking without explanation…",,"*妹红
还不是因为你不分青红皂白地直接动手……",
Dialogue/FS_Mokou_BambooForest_After/004,Text,Lucy,,So…who is she?,,所以，她是？,
Dialogue/FS_Mokou_BambooForest_After/005,Text,,,"*Mokou
As mentioned in the story, she’s that Kaguya—the one who left behind the Hourai Elixir.",,"*妹红
我记得故事中有提到过，她就是那个辉夜，留下了蓬莱之药的人。",
Dialogue/FS_Mokou_BambooForest_After/006,Text,,,"*Kaguya
My, my. Mokou actually sharing her past? How rare.",,"*辉夜
啊啦啊啦，妹红竟然会给别人讲以前的故事，真是稀奇呢。",
Dialogue/FS_Mokou_BambooForest_After/007,Text,,,"*Mokou
...Do you even grasp our current situation?",,"*妹红
……你到底知不知道我们现在的处境。",
Dialogue/FS_Mokou_BambooForest_After/008,Text,,,"*Kaguya
Hmph, you think this is my first time encountering you in this loop?
It’s just an endless cyclical world. Escape it, and be done.",,"*辉夜
哼，你以为我是第几次遇见你们了。
不就是无尽循环的世界嘛，离开这里不就好了。",
Dialogue/FS_Mokou_BambooForest_After/009,Text,,,"*Mokou
No! We can’t leave. We should stay here forever!",,"*妹红
不！我们不能出去，我们应该一辈子待在这里！",
Dialogue/FS_Mokou_BambooForest_After/010,Text,,,"*Kaguya
Sigh… In the end, it’s you who needs convincing.",,"*辉夜
唉……结果最后要说服的，是你吗。",
Dialogue/FS_Mokou_BambooForest_After/011,Text,,,"*Kaguya
Hey, Mokou. Do you know what I meant by ""You think this is my first time encountering you""?",,"*辉夜
呐，妹红。你知道我说的“你以为我是第几次遇见你们了”代表了什么呢。",
Dialogue/FS_Mokou_BambooForest_After/012,Text,,,"*Mokou
?",,"*妹红
？",
Dialogue/FS_Mokou_BambooForest_After/013,Text,,,"*Kaguya
In other words, I’ve already met Kaguya.",,"*辉夜
也就是说，我已经见到过辉夜了呢。",
Dialogue/FS_Mokou_BambooForest_After/014,Text,,,"*Mokou
You! Are you saying—",,"*妹红
你！你是说——",
Dialogue/FS_Mokou_BambooForest_After/015,Text,,,"*Kaguya
Glad to see your brain’s still working.
Who’s the real one? It’s obvious at a glance.",,"*辉夜
看来你脑子还是有在动的嘛。
谁是真的本体，这种事，真的是看一眼就知道了呢。",
Dialogue/FS_Mokou_BambooForest_After/016,Text,,,"*Mokou
Then why do you want to end the cycle?!",,"*妹红
既然这样，为什么你还要终结循环！",
Dialogue/FS_Mokou_BambooForest_After/017,Text,,,"*Kaguya
Heh. You’re nothing like a Hourai immortal.
What you fear isn’t death outside this loop, is it?",,"*辉夜
呵呵，你这样，真是一点都不像一个蓬莱人呢。
你害怕的，从始至终就不是出去以后我们会死吧。",
Dialogue/FS_Mokou_BambooForest_After/018,Text,,,"*Mokou
...",,"*妹红
…………",
Dialogue/FS_Mokou_BambooForest_After/019,Text,,,"*Kaguya
You don’t want to break the cycle because you can’t bear losing the bonds forged here in the Ark.",,"*辉夜
不要结束循环，其实只是你不想破坏在这个方舟中积累下来的点点滴滴吧。",
Dialogue/FS_Mokou_BambooForest_After/020,Text,Lucy,,M-Mokou…?,,妹……妹红小姐？,
Dialogue/FS_Mokou_BambooForest_After/021,Text,,,"*Mokou
Sigh… Yes. I’m terrified that everything will vanish once we leave.
I fear all I’ve done and experienced will become meaningless.",,"*妹红
呼————是啊，我就是在害怕着，出去以后，这一切都会消失。
我害怕我所做的这一切，我所经历的这一切都化为泡影。",
Dialogue/FS_Mokou_BambooForest_After/022,Text,Lucy,,No! It won’t disappear!,,不！不会消失的！,
Dialogue/FS_Mokou_BambooForest_After/023,Text,,,"*Mokou
Lucy?",,"*妹红
露西？",
Dialogue/FS_Mokou_BambooForest_After/024,Text,Lucy,,"Miss Mokou… You’ve always protected me, no matter how dangerous the enemy.
I’ll never forget what we’ve been through!",,"妹红小姐……你一直在保护着我，不管是多危险的敌人。
我是绝对不会忘记那些和你的那些经历的！",
Dialogue/FS_Mokou_BambooForest_After/025,Text,Lucy,,"Not just me—the entire Investigation Team.
Everyone will remember you!",,"不单单是我，还有调查团的同伴。
大家都一定会记得你的！",
Dialogue/FS_Mokou_BambooForest_After/026,Text,Lucy,,"The bonds we share here and now are real.
You’ve always been our one and only Miss Mokou!",,"此刻在一起的我们，是千真万确的同伴。
你一直都是我们唯一的，妹红小姐啊！",
Dialogue/FS_Mokou_BambooForest_After/027,Text,,,"*Kaguya
My, my. How touching~",,"*辉夜
啊啦啊啦，真是令人羡慕啊~",
Dialogue/FS_Mokou_BambooForest_After/028,Text,Lucy,,"I know my words might sound hollow…
I don’t even know if we’ll wake up or what awaits us.",,"虽然我知道我现在说的话都不靠谱……
我其实根本不知道我们能不能醒来，我们醒来以后会怎么样。",
Dialogue/FS_Mokou_BambooForest_After/029,Text,Lucy,,"…I’m scared too. Scared to face it all.
But I have no choice.",,"…我也在害怕着啊，害怕着去面对这一切。
但我没有别的选择。",
Dialogue/FS_Mokou_BambooForest_After/030,Text,,,"*Mokou
…How pathetic. Getting lectured by a kid.",,"*妹红
…我也真是逊啊，竟然都要轮到小孩子来开导我了。",
Dialogue/FS_Mokou_BambooForest_After/031,Text,,,"*Mokou
I won’t hesitate anymore.
I’m not Fujiwara no Mokou’s shadow—I am myself!",,"*妹红
我已经不会再迷茫了。
我不是什么藤原妹红的替身，我就是我自己！",
Dialogue/FS_Mokou_BambooForest_After/032,Text,,,"*Mokou
Let’s go, Lucy. Do what you must.
I’ll always stand in front of you.",,"*妹红
走吧，露西，去做你想做的事。
我会一直站在你的身前的。",
Dialogue/FS_Mokou_BambooForest_After/033,Text,,,"*Kaguya
Though I can’t help much, I’ll still cheer you on~",,"*辉夜
虽然我帮不了你们什么，我也会为你们加油的哦~",
Dialogue/FS_Mokou_ClockTower/002,Text,,,"*Fujiwara no Mokou
We’re here… This is the Clock Tower.",,"*藤原妹红
到了吗……这里就是钟楼啊。",
Dialogue/FS_Mokou_ClockTower/003,Text,,,"*Fujiwara no Mokou
A journey neither long nor short.",,"*藤原妹红
真是说长不长，说短也不短的旅程啊。",
Dialogue/FS_Mokou_ClockTower/004,Text,,,"*Fujiwara no Mokou
Regardless, I’ll remember this trip forever.
…Even if time rewinds and erases it.",,"*藤原妹红
不管怎么说，我会永远记住这一次的旅途的。
……虽然时光倒流后也记不住就是了。",
Dialogue/FS_Mokou_ClockTower/004_O1_1,Text,,,"*Fujiwara no Mokou
For me, nothing changes.",,"*藤原妹红
对我来说，一切都没有改变就是了。",
Dialogue/FS_Mokou_ClockTower/004_O1_2,Text,,,"*Fujiwara no Mokou
A mere few decades is but a drop in the ocean of my existence.",,"*藤原妹红
区区几十年的时光，和我的经历比起来真是沧海一粟。",
Dialogue/FS_Mokou_ClockTower/004_O1_3,Text,,,"*Fujiwara no Mokou
Hm? Saying I’m not that old?
Heh. Even if I told you, you’d forget.",,"*藤原妹红
嗯？你说我也没多大？
呵呵，就算我跟你说你也记不住吧。",
Dialogue/FS_Mokou_ClockTower/004_O2_1,Text,,,"*Fujiwara no Mokou
A unique journey. I’ll cherish it.",,"*藤原妹红
蛮特别的一段旅程，我会一直铭记在心的。",
Dialogue/FS_Mokou_ClockTower/004_O2_2,Text,,,"*Fujiwara no Mokou
Either way, we’re friends now, right Lucy?",,"*藤原妹红
无论怎么说，露西你已经是我的朋友了，不是吗？",
Dialogue/FS_Mokou_ClockTower/004_Option0,Text,,,About future plans,,关于今后的计划,
Dialogue/FS_Mokou_ClockTower/004_Option1,Text,,,Ask for her thoughts,,询问感想,
Dialogue/FS_Mokou_ClockTower/005,Text,,,"*Fujiwara no Mokou
Go, Lucy.
Farewell—I hope we meet again.",,"*藤原妹红
去吧，露西。
后会有期，希望我们还能再见面。",
Dialogue/FS_Mokou_Gift_Alcohol/002,Text,,,"*Fujiwara no Mokou
Oh! My favorite liquor!",,"*藤原妹红
哦！这不是我最喜欢的酒嘛！",
Dialogue/FS_Mokou_Gift_Alcohol/003,Text,,,"*Fujiwara no Mokou
Huh? You’re really giving this to me?",,"*藤原妹红
欸？你真的要送给我吗？",
Dialogue/FS_Mokou_Gift_Alcohol/004,Text,,,"*Fujiwara no Mokou
Ah, thanks Lucy…",,"*藤原妹红
啊，谢谢你露西……",
Dialogue/FS_Mokou_Gift_Alcohol/005,Text,,,"*Fujiwara no Mokou
But don’t you dare drink any. Wait till you’re older.",,"*藤原妹红
不过露西你可不能喝啊，等你长大了才能喝酒。",
Dialogue/FS_Mokou_Gift_Alcohol/006,Text,,,"*Fujiwara no Mokou
Me? I’ve lived far longer than I look.",,"*藤原妹红
我吗？我可比你看起来要活得久多了呢。",
Dialogue/FS_Mokou_Gift_Normal/002,Text,,,"*Fujiwara no Mokou
Hm? This is for me?",,"*藤原妹红
嗯？這是給我的嗎？",
Dialogue/FS_Mokou_Gift_Normal/003,Text,,,"*Fujiwara no Mokou
Well, I’ll gratefully accept it.",,"*藤原妹红
嘛，总之我就心怀感激的收下了。",
Dialogue/FS_Mokou_Gift_Normal/004,Text,,,"*Fujiwara no Mokou
Kid, stay behind me in battle.",,"*藤原妹红
小子，戰鬥的時候記得躲在我身後啊。",
Dialogue/FS_Mokou_KingRoom/002,Text,,,"*Fujiwara no Mokou
After defeating him… this journey ends, huh.",,"*藤原妹红
打败他之后，这段旅程也就结束了吗……",
Dialogue/FS_Mokou_KingRoom/003,Text,,,"*Fujiwara no Mokou
Either way, it’s been unforgettable.",,"*藤原妹红
不管怎么说，都是一段难忘的旅程呢。",
Dialogue/FS_Mokou_KingRoom/004,Text,,,"*Fujiwara no Mokou
Let’s finish this, Lucy!",,"*藤原妹红
让我们上吧，露西！",
Dialogue/FS_Mokou_Lv1/002,Text,,,"[b](Fujiwara no Mokou is smoking alone, away from the campfire.)[/b]",,[b]（藤原妹红在远离火堆的地方独自一人抽着烟）[/b],
Dialogue/FS_Mokou_Lv1/003,Text,Lucy,,"Miss Fujiwara, why are you out here alone?",,藤原小姐，你为什么一个人呆在这种地方呢？,
Dialogue/FS_Mokou_Lv1/004,Text,,,"*Fujiwara no Mokou
Just call me Mokou, Lucy.
I’m… simply lost in thought.",,"*藤原妹红
是露西啊……叫我妹红就好。
我只是在独自发呆罢了。",
Dialogue/FS_Mokou_Lv1/005,Text,Lucy,,"Wouldn’t it be better to sit by the fire, Miss Mokou? It’s warm here.",,那妹红小姐来火堆这边坐着不好吗，这边还很暖和呢。,
Dialogue/FS_Mokou_Lv1/006,Text,,,"*Fujiwara no Mokou
""Miss""... Never mind, call me what you like.
I can conjure flames. Cold doesn’t bother me.",,"*藤原妹红
小姐……算了你开心就好。
我可以凭空生火，根本不会怕冷的啊。",
Dialogue/FS_Mokou_Lv1/007,Text,Lucy,,"You’re so distant with others, Miss Mokou.
Someone who controls fire should be more passionate.",,"妹红小姐对待别人好冷淡耶。
会玩火的不应该都很热情的嘛。",
Dialogue/FS_Mokou_Lv1/008,Text,,,"*Fujiwara no Mokou
What a stereotype…
But I have a question for you, Lucy.",,"*藤原妹红
你这是什么刻板印象啊……
不过我倒是想问露西你一个问题就是了。",
Dialogue/FS_Mokou_Lv1/009,Text,,,"*Fujiwara no Mokou
Aren’t you afraid of me? I’m an ageless, deathless being.",,"*藤原妹红
露西你不害怕我吗？我可是不会老去也不会死亡的存在哦。",
Dialogue/FS_Mokou_Lv1/009_O1_1,Text,Lucy,,Huh? You’re always shielding us in battle! So cool~~ I’m not scared at all!,,"欸——妹红小姐在战场上一直站在前面挡住敌人的攻击，保护身后的人耶。
多帅气啊~~我一点都不怕妹红小姐啊。",
Dialogue/FS_Mokou_Lv1/009_O1_2,Text,,,"*Fujiwara no Mokou
Sigh… Your innocence is refreshing.",,"*藤原妹红
唉，露西你能这么纯真真是好啊。",
Dialogue/FS_Mokou_Lv1/009_O2_1,Text,Lucy,,"Ah… The way you take all the damage alone frightens me.
Maybe trust the others more next time?",,"啊，妹红小姐每次一个人承受所有伤害的样子我看着很害怕啊。
下次也相信别的调查员一些怎么样。",
Dialogue/FS_Mokou_Lv1/009_O2_2,Text,,,"*Fujiwara no Mokou
That’s not what I meant…
But you’re not wrong.",,"*藤原妹红
我说的不是这个啊……
算了，你说的也有一点道理。",
Dialogue/FS_Mokou_Lv1/009_O3_1,Text,Lucy,,"Hmm… I don’t know.
But you’re part of the team helping me restart the Clock Tower. You can’t be bad.",,"嗯……我不知道。
但是妹红小姐也是调查员中的一员，会帮助我一起启动钟楼，不可能是坏人吧。",
Dialogue/FS_Mokou_Lv1/009_O3_2,Text,,,"*Fujiwara no Mokou
Sigh… Your purity is rare.
I wish everyone were like you.",,"*藤原妹红
唉……露西你还真是纯真啊。
要是人们都能像你一样就好了。",
Dialogue/FS_Mokou_Lv1/009_Option0,Text,,,Not afraid,,不害怕,
Dialogue/FS_Mokou_Lv1/009_Option1,Text,,,Afraid,,害怕,
Dialogue/FS_Mokou_Lv1/009_Option2,Text,,,I don’t know,,我不知道,
Dialogue/FS_Mokou_Lv1/010,Text,,,"*Fujiwara no Mokou
People fear my power yet can’t oppose me.
In the end, they shun and exile me.",,"*藤原妹红
人们惧怕我的力量，又对我无可奈何。
最后也只能做到惧怕我，远离我，驱逐我。",
Dialogue/FS_Mokou_Lv1/011,Text,,,"*Fujiwara no Mokou
So joining the Investigation Team to explore the Distortion Lands was the best choice.",,"*藤原妹红
既然这样的话，加入调查团，前往扭曲之地进行调查就是一个不错的选择嘛。",
Dialogue/FS_Mokou_Lv1/012,Text,,,"*Fujiwara no Mokou
My power finds purpose here, and I avoid those who despise me. A fair trade.",,"*藤原妹红
我的力量也能有地方发挥，还能远离那些讨厌我的人，不是一个不错的选择吗？",
Dialogue/FS_Mokou_Lv1/013,Text,Lucy,,"You’re so kind, Miss Mokou. No resentment despite how others treat you?",,妹红小姐你是真的心善啊，人们这么对待你你都没有怨言啊。,
Dialogue/FS_Mokou_Lv1/014,Text,,,"*Fujiwara no Mokou
This is normal for me. I’m used to it.
You should rest, Lucy. We’ve more to explore.",,"*藤原妹红
一直都是这样过来的而已，我也已经习惯了。
话说露西你也该回去休息了，我们还要继续探索扭曲之地呢。",
Dialogue/FS_Mokou_Lv1/015,Text,,,[b]Mokou extinguishes her cigarette and returns to the campfire. She seems unwilling to continue the conversation.[/b],,"[b]藤原妹红掐灭了手中的烟，走回到了篝火旁。
看起来她并不是很想继续这个话题。[/b]",
Dialogue/FS_Mokou_Lv2/002,Text,,,"[b](Fujiwara no Mokou is smoking alone again, away from the campfire.)[/b]",,[b]（藤原妹红又在远离火堆的地方独自一人抽着烟了）[/b],
Dialogue/FS_Mokou_Lv2/003,Text,Lucy,,"Miss Mokou, why are you out here alone again?",,妹红小姐，你怎么又一个人呆在这种地方了啊。,
Dialogue/FS_Mokou_Lv2/004,Text,,,"*Fujiwara no Mokou
Just reminiscing about life before the team.",,"*藤原妹红
没事，只是在回忆加入调查团前的一些往事罢了。",
Dialogue/FS_Mokou_Lv2/005,Text,,,"*Fujiwara no Mokou
Hey, Lucy, do you like listening to stories?
I was just thinking of telling one to pass the time.",,"*藤原妹红
呐，露西，你喜欢听故事吗？
我正好想讲个故事，消磨消磨时间。",
Dialogue/FS_Mokou_Lv2/006,Text,Lucy,,"A story from Miss Mokou—
I’m very interested, then.",,"妹红小姐知道的故事吗——
那我可是很感兴趣了。",
Dialogue/FS_Mokou_Lv2/007,Text,,,"Once upon a time, there was a daughter from a noble family.",,很久很久以前，有一个贵族人家的女儿。,
,,,,,,,
Dialogue/FS_Mokou_Lv2/008,Text,,,"Her existence was unknown to the world, and she herself was merely an illegitimate child who was never expected to amount to much.",,她的存在并不为人所知，她本身也只是一个不曾被寄予厚望的孩子。也就是俗说的私生子。,
Dialogue/FS_Mokou_Lv2/009,Text,,,"If things had stayed that way, she would have lived an ordinary life, like any common person, passing through an unremarkable lifetime.",,如果只是这样，那她本该平平淡淡地生活下去，就像一个普通人一样，度过平凡的一生。,
,,,,,,,
Dialogue/FS_Mokou_Lv2/010,Text,,,"But one day, her father suddenly proposed to a woman of lowly status, only to be humiliated by her impossible riddle. He then vanished after fleeing home.   ",,可是有一天，她的父亲忽然向一位身份低微的女子求婚，却被对方以难题羞辱，随后离家出走，不见了踪影。,
Dialogue/FS_Mokou_Lv2/011,Text,,,"After that, her family rapidly declined. Though her daily life remained unchanged, she harbored deep hatred for the woman who had destroyed her family.      ",,自那以后，她的家族迅速地衰败了。虽然对她来说，和以前的生活并无二致，但她仍然十分憎恨这个将她的家族毁掉的女人。,
Dialogue/FS_Mokou_Lv2/012,Text,,,"Yet as a child, there was nothing she could do—neither finding that woman nor her missing father.",,只可惜，年幼的她什么都做不到。无论是找到那个女人，还是找到失踪的父亲，她什么都做不到。,
,,,,,,,
Dialogue/FS_Mokou_Lv2/013,Text,,,"At that time, she heard of a man named Iwakasa tasked with disposing of an item left behind by her.",,就在这个时候，她听说了一件事。一个被叫做岩笠的男人受委托处理她留下了的一个东西。,
Dialogue/FS_Mokou_Lv2/014,Text,,,"“Even if I can’t do anything else, stealing this thing she left behind would be my revenge!”
With that thought, she chased the group to Mount Fuji, said to be the tallest peak in the land.",,"“虽然我什么都做不到，至少夺走她留下的这个东西，也是一种报仇吧！”
这样想着的她，追逐着一行人，来到了据说是那个国家之中最高的山峰——富士山。",
Dialogue/FS_Mokou_Lv2/016,Text,,,"But such a mountain was too vast for a young girl.
By the time she reached midway, exhaustion forced her to stop.",,"但是这样的一座山，对于一个小女孩来说，还是过于高大了。
当爬到半山腰时，她终于筋疲力尽，停在了原地。",
Dialogue/FS_Mokou_Lv2/017,Text,,,"[b]The man had noticed her following them. When she collapsed, he turned back, offered her water, and urged the soldiers to help her climb to the summit…[/b]",,[b]那名男子似乎早就注意到她一直跟在他们的后面。所以当她坐下的时候，他也返身走了过来并且递了一壶水。最后还和几名士兵一起互相激励着带她一同爬上了山顶……[/b],
Dialogue/FS_Mokou_Lv2/018,Text,,,"After reaching the summit, she asked the man why they had climbed.",,当一行人终于登上山顶之后，她便向那名男子问他们为什么要登山。,
,,,,,,,
Dialogue/FS_Mokou_Lv2/019,Text,,,"*Girl
Iwakasa, why did you come here to destroy the elixir of immortality?",,"*女孩
岩笠你，为什么要来这里销毁掉不老不死药呢。",
Dialogue/FS_Mokou_Lv2/020,Text,,,"*Iwakasa
This elixir was left by Princess Kaguya. The Emperor ordered me to burn it at the place closest to the moon.",,"*岩笠
这个药是辉夜姬留下了的，天皇命令我在最接近月亮的地方将灵药烧掉。",
