Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
ModTitle,Text,,,【CN EN】【Kantai Collection】Hibiki,,【CN EN】【舰队collection】响,
ModDescription,Text,,,"New role:

Hibiki

Appearance: Kantai collection
Hibiki/Skill/S_Hibiki_3_Desc,Text,,"어뢰를 발사하여 목표물을 공격하고, 명중시킨 후 방어력을 감소시킵니다.","Launches torpedoes to attack the target, reducing defense upon hit.",魚雷を発射して目標を攻撃し、命中後の防御力を低下させます。,发射鱼雷攻击目标，命中后减少防御力。,发射鱼雷攻击目标，命中后减少防御力。,,
Hibiki/Skill/B_Hibiki_3_Name,Text,,폭풍,Torpedo Strike,雷撃,雷击,雷擊,,
Hibiki/Skill/S_Hibiki_4_Name,Text,,지휘,Command,指揮 ,指挥,指揮,,
Hibiki/Skill/S_Hibiki_4_Desc,Text,,,Choose a formation.,,选择阵型。,展開黑色屏障，添加阻擋（殲滅狀態下為反射）2次傷害的護盾，並增加被攻擊的機率；同時對戰術連結目標也施加一個效果。,,
Hibiki/Skill/S_Hibiki_4_P1_Name,Text,,,Single Line Formation,,单纵阵,,,
Hibiki/Skill/S_Hibiki_4_P1_Desc,Text,,,Increases attack and reduces defense. Also increases artillery coefficient by 20% and torpedo coefficient by 40%.,,增加攻击减少防御。同时增加炮击系数20%，增加雷击系数40%。,,,
Hibiki/Skill/S_Hibiki_4_P2_Name,Text,,,Circular Formation,,轮型阵,,,
Hibiki/Skill/S_Hibiki_4_P2_Desc,Text,,,Increases the probability of escort pursuit. Escort interception can shoot down non-pursuit skills.,,增加护航追击概率。护航击落可以击落非追击技能。,,,
Hibiki/Skill/B_Hibiki_4_P2_Desc,Text,,,Increases escort pursuit probability to 50%. Escort interception can shoot down non-pursuit skills.,,护航追击概率提升至50%，护航击落可以击落非追击技能。,,,
Hibiki/Skill/S_Hibiki_4_P3_Name,Text,,,Echelon Formation,,单横阵,,,
Hibiki/Skill/S_Hibiki_4_P3_Desc,Text,,,Increases evasion rate and reduces attack.,,增加回避率减少攻击。,,,
Hibiki/Skill/S_Hibiki_5_Name,Text,,Ура!,Ura!,ｳﾗｰ!,乌！拉！,烏！拉！,,
Hibiki/Skill/S_Hibiki_5_Desc,Text,,,"Charges toward the enemy, increasing the chance of being attacked, critical hit rate, and defense. Generates a ""Collision"" card.",,冲向敌方身边，增加被攻击概率，被暴击率，防御力，生成一张撞击。,战斗开始时置于牌堆顶部。光剑切换为巨剑模式，更换S技能并修改部分技能效果。,,
Hibiki/Skill/B_Hibiki_5_Name,Text,,,Close Combat,,近距离作战,,,
Hibiki/Skill/S_Hibiki_5_1_Name,Text,,Ура!,Collision,撞擊,撞击,撞擊,,
Hibiki/Skill/S_Hibiki_5_1_Desc,Text,,전투가 시작될 때 덱 맨 위에 놓입니다. 라이트 소드가 거대한 소드 모드로 전환되며 S 스킬을 교체하고 일부 스킬 효과를 수정합니다.,Causes 25% of HP damage to self and an additional &a damage.,,对自身造成25%血量的伤害，额外造成&a伤害。,战斗开始时置于牌堆顶部。光剑切换为巨剑模式，更换S技能并修改部分技能效果。,,
Hibiki/Skill/S_Hibiki_6_Name,Text,,야전,Night Battle,夜戦,夜战,夜戰,,
Hibiki/Skill/S_Hibiki_6_Desc,Text,,,Performs an additional night battle attack at the end of the turn (coefficient equal to artillery). 20% chance to trigger a CI attack (coefficient increases torpedo coefficient).,,回合结束后追加一次夜战攻击(系数等同同于炮击);有20%概率触发CI攻击（系数增加雷击系数）。,與光劍合為一體，降下大規模轟炸與強烈斬擊之雨。（延遲1）,,
Hibiki/Skill/B_Hibiki_6_Desc,Text,,,Performs an additional night battle attack at the end of the turn (coefficient equal to artillery). &a% chance to trigger a CI attack (coefficient increases torpedo coefficient).,,回合结束后追加一次夜战攻击(系数等同同于炮击);有&a%概率触发CI攻击（系数增加雷击系数）。,,,
Hibiki/Skill/S_Hibiki_7_Desc,Text,,,"Selects a skill to gain ""Trust"" and draws a card.",,选择一个技能获得“信赖”，抽取一张牌。,,,
Hibiki/Skill/S_Hibiki_8_Name,Text,,,Fireworks,,烟花,,,
Hibiki/Skill/S_Hibiki_8_Desc,Text,,,"Can only be used in close combat and not in critical condition. Fires the main gun, dealing damage equal to 2 times the artillery coefficient to enemies in range, with additional damage equal to current HP (&a). Enters critical condition after use.",,"近距离作战状态下且非濒死状态才能使用。发射主炮，对范围敌方造成炮击系数2倍的伤害，附带当前血量（&a）的伤害,使用后进入濒死状态。",,,
Hibiki/Skill/S_Hibiki_Rare_1_Name,Text,,긴급 수리 여신,Emergency Repair Goddess,緊急修理女神,应急修理女神,應急修理女神,,
Hibiki/Skill/S_Hibiki_Rare_1_Desc,Text,,,Quickly completes repairs (can only be used in repair state).,,快速完成修理（修理状态才可以使用）。,以變化為巨劍的光劍鎮壓戰場，最後向敵陣掷出加以歼灭。（时空延迟1）,,
Hibiki/Skill/S_Hibiki_Rare_2_Name,Text,,함선 장비 강화,Ship Equipment Enhancement,艦装強化,舰装强化,艦裝強化,,
Hibiki/Skill/S_Hibiki_Rare_2_Desc,Text,,"빛 검을 힘껏 휘두르며 대상과 양옆의 적에게 피해를 주고 파괴 (50) 하며, 또한 불안정한 대상에게는 2배의 파괴를 입힙니다.","Increases artillery coefficient by 50%, torpedo coefficient by 100%, and night battle CI probability by 30%.",,"炮击系数增加50%,雷击系数增加100%，夜战CI概率提升30%。",用力挥砸光劍，对目标和两边敌人造成伤害和打破（50），且对于失衡目标造成2倍打破。,,
Hibiki/Skill/B_Hibiki_Rare_2_Desc,Text,,,"Increases artillery coefficient by 50%, torpedo coefficient by 100%, and night battle CI probability by 30%.",,"炮击系数增加50%,雷击系数增加100%，夜战CI概率提升30%。",,,
Hibiki/Skill/S_Hibiki_LucyD_Desc,Text,,,"Draws a desired skill from the deck and attaches ""Trust"" to it.",,从牌组中抽取一个想要的技能，使其附带“信赖”。,,,
,,,,,,,,,

